description,city_name,date
"In Delhi during 05/1991, the average temperature was 33.79°C, with highs up to 43.10°C and lows down to 22.90°C. There were 16.00 hours of precipitation and total precipitation of 9.20 mm. There were 377.03 hours of sunshine, with an average of 13.56 hours of daylight. The most frequent weather was Cloudy occurring on 10 days.",Delhi,1991-05
"In Delhi during 06/1991, the average temperature was 33.90°C, with highs up to 43.30°C and lows down to 25.90°C. There were 31.00 hours of precipitation and total precipitation of 27.00 mm. There were 370.44 hours of sunshine, with an average of 13.93 hours of daylight. The most frequent weather was Mainly Sunny occurring on 9 days.",Delhi,1991-06
"In Delhi during 07/1991, the average temperature was 32.52°C, with highs up to 42.00°C and lows down to 25.80°C. There were 123.00 hours of precipitation and total precipitation of 91.10 mm. There were 341.35 hours of sunshine, with an average of 13.77 hours of daylight. The most frequent weather was Light Drizzle occurring on 11 days.",Delhi,1991-07
"In Delhi during 08/1991, the average temperature was 29.35°C, with highs up to 39.50°C and lows down to 23.80°C. There were 219.00 hours of precipitation and total precipitation of 156.70 mm. There were 265.16 hours of sunshine, with an average of 13.15 hours of daylight. The most frequent weather was Rain occurring on 9 days.",Delhi,1991-08
"In Delhi during 09/1991, the average temperature was 28.62°C, with highs up to 36.30°C and lows down to 22.30°C. There were 77.00 hours of precipitation and total precipitation of 29.60 mm. There were 301.97 hours of sunshine, with an average of 12.34 hours of daylight. The most frequent weather was Mainly Sunny occurring on 9 days.",Delhi,1991-09
"In Delhi during 10/1991, the average temperature was 25.84°C, with highs up to 35.60°C and lows down to 16.60°C. There were 1.00 hours of precipitation and total precipitation of 0.10 mm. There were 330.32 hours of sunshine, with an average of 11.49 hours of daylight. The most frequent weather was Sunny occurring on 27 days.",Delhi,1991-10
"In Delhi during 11/1991, the average temperature was 19.97°C, with highs up to 31.20°C and lows down to 11.50°C. There were 4.00 hours of precipitation and total precipitation of 1.60 mm. There were 283.84 hours of sunshine, with an average of 10.75 hours of daylight. The most frequent weather was Sunny occurring on 16 days.",Delhi,1991-11
"In Delhi during 12/1991, the average temperature was 15.84°C, with highs up to 25.70°C and lows down to 5.10°C. There were 47.00 hours of precipitation and total precipitation of 47.60 mm. There were 268.36 hours of sunshine, with an average of 10.36 hours of daylight. The most frequent weather was Cloudy occurring on 10 days.",Delhi,1991-12
"In Delhi during 01/1992, the average temperature was 14.71°C, with highs up to 27.30°C and lows down to 4.70°C. There were 29.00 hours of precipitation and total precipitation of 18.60 mm. There were 279.31 hours of sunshine, with an average of 10.54 hours of daylight. The most frequent weather was Cloudy occurring on 14 days.",Delhi,1992-01
"In Delhi during 02/1992, the average temperature was 15.54°C, with highs up to 30.30°C and lows down to 5.60°C. There were 28.00 hours of precipitation and total precipitation of 22.40 mm. There were 282.14 hours of sunshine, with an average of 11.18 hours of daylight. The most frequent weather was Sunny occurring on 9 days.",Delhi,1992-02
"In Delhi during 03/1992, the average temperature was 22.81°C, with highs up to 32.40°C and lows down to 13.20°C. There were 3.00 hours of precipitation and total precipitation of 0.70 mm. There were 311.58 hours of sunshine, with an average of 12.01 hours of daylight. The most frequent weather was Cloudy occurring on 20 days.",Delhi,1992-03
"In Delhi during 04/1992, the average temperature was 28.80°C, with highs up to 40.70°C and lows down to 16.20°C. There were 0.00 hours of precipitation and total precipitation of 0.00 mm. There were 347.05 hours of sunshine, with an average of 12.86 hours of daylight. The most frequent weather was Cloudy occurring on 22 days.",Delhi,1992-04
"In Delhi during 05/1992, the average temperature was 32.23°C, with highs up to 42.80°C and lows down to 21.10°C. There were 22.00 hours of precipitation and total precipitation of 10.40 mm. There were 373.79 hours of sunshine, with an average of 13.58 hours of daylight. The most frequent weather was Cloudy occurring on 10 days.",Delhi,1992-05
"In Delhi during 06/1992, the average temperature was 35.03°C, with highs up to 45.10°C and lows down to 24.00°C. There were 22.00 hours of precipitation and total precipitation of 14.60 mm. There were 362.57 hours of sunshine, with an average of 13.93 hours of daylight. The most frequent weather was Mainly Sunny occurring on 9 days.",Delhi,1992-06
"In Delhi during 07/1992, the average temperature was 30.18°C, with highs up to 39.50°C and lows down to 24.70°C. There were 182.00 hours of precipitation and total precipitation of 144.60 mm. There were 311.69 hours of sunshine, with an average of 13.76 hours of daylight. The most frequent weather was Light Drizzle occurring on 9 days.",Delhi,1992-07
"In Delhi during 08/1992, the average temperature was 27.92°C, with highs up to 33.40°C and lows down to 24.50°C. There were 286.00 hours of precipitation and total precipitation of 220.20 mm. There were 239.21 hours of sunshine, with an average of 13.14 hours of daylight. The most frequent weather was Light Rain occurring on 9 days.",Delhi,1992-08
"In Delhi during 09/1992, the average temperature was 27.21°C, with highs up to 35.30°C and lows down to 19.40°C. There were 100.00 hours of precipitation and total precipitation of 69.20 mm. There were 298.69 hours of sunshine, with an average of 12.32 hours of daylight. The most frequent weather was Sunny occurring on 10 days.",Delhi,1992-09
"In Delhi during 10/1992, the average temperature was 25.52°C, with highs up to 36.00°C and lows down to 15.80°C. There were 14.00 hours of precipitation and total precipitation of 6.90 mm. There were 317.50 hours of sunshine, with an average of 11.47 hours of daylight. The most frequent weather was Sunny occurring on 16 days.",Delhi,1992-10
"In Delhi during 11/1992, the average temperature was 20.28°C, with highs up to 30.70°C and lows down to 8.80°C. There were 23.00 hours of precipitation and total precipitation of 13.30 mm. There were 291.28 hours of sunshine, with an average of 10.73 hours of daylight. The most frequent weather was Sunny occurring on 16 days.",Delhi,1992-11
"In Delhi during 12/1992, the average temperature was 16.71°C, with highs up to 26.20°C and lows down to 7.20°C. There were 0.00 hours of precipitation and total precipitation of 0.00 mm. There were 291.85 hours of sunshine, with an average of 10.36 hours of daylight. The most frequent weather was Sunny occurring on 11 days.",Delhi,1992-12
"In Delhi during 01/1993, the average temperature was 14.33°C, with highs up to 27.00°C and lows down to 4.60°C. There were 23.00 hours of precipitation and total precipitation of 8.30 mm. There were 285.89 hours of sunshine, with an average of 10.56 hours of daylight. The most frequent weather was Sunny occurring on 11 days.",Delhi,1993-01
"In Delhi during 02/1993, the average temperature was 18.73°C, with highs up to 31.70°C and lows down to 6.20°C. There were 43.00 hours of precipitation and total precipitation of 19.40 mm. There were 265.98 hours of sunshine, with an average of 11.19 hours of daylight. The most frequent weather was Cloudy occurring on 12 days.",Delhi,1993-02
"In Delhi during 03/1993, the average temperature was 20.64°C, with highs up to 31.40°C and lows down to 9.40°C. There were 14.00 hours of precipitation and total precipitation of 4.80 mm. There were 329.82 hours of sunshine, with an average of 12.00 hours of daylight. The most frequent weather was Sunny occurring on 9 days.",Delhi,1993-03
"In Delhi during 04/1993, the average temperature was 28.87°C, with highs up to 43.20°C and lows down to 13.70°C. There were 28.00 hours of precipitation and total precipitation of 9.10 mm. There were 350.18 hours of sunshine, with an average of 12.86 hours of daylight. The most frequent weather was Cloudy occurring on 21 days.",Delhi,1993-04
"In Delhi during 05/1993, the average temperature was 33.91°C, with highs up to 44.30°C and lows down to 22.00°C. There were 23.00 hours of precipitation and total precipitation of 9.20 mm. There were 378.62 hours of sunshine, with an average of 13.57 hours of daylight. The most frequent weather was Cloudy occurring on 18 days.",Delhi,1993-05
"In Delhi during 06/1993, the average temperature was 33.91°C, with highs up to 45.60°C and lows down to 25.40°C. There were 54.00 hours of precipitation and total precipitation of 47.30 mm. There were 353.03 hours of sunshine, with an average of 13.93 hours of daylight. The most frequent weather was Mainly Sunny occurring on 8 days.",Delhi,1993-06
"In Delhi during 07/1993, the average temperature was 29.45°C, with highs up to 40.40°C and lows down to 24.30°C. There were 186.00 hours of precipitation and total precipitation of 204.80 mm. There were 273.69 hours of sunshine, with an average of 13.76 hours of daylight. The most frequent weather was Light Drizzle occurring on 6 days.",Delhi,1993-07
"In Delhi during 08/1993, the average temperature was 31.24°C, with highs up to 38.70°C and lows down to 25.20°C. There were 67.00 hours of precipitation and total precipitation of 28.20 mm. There were 345.78 hours of sunshine, with an average of 13.14 hours of daylight. The most frequent weather was Mainly Sunny occurring on 7 days.",Delhi,1993-08
"In Delhi during 09/1993, the average temperature was 26.93°C, with highs up to 34.10°C and lows down to 22.40°C. There were 203.00 hours of precipitation and total precipitation of 134.70 mm. There were 269.20 hours of sunshine, with an average of 12.33 hours of daylight. The most frequent weather was Light Drizzle occurring on 7 days.",Delhi,1993-09
"In Delhi during 10/1993, the average temperature was 25.68°C, with highs up to 35.70°C and lows down to 14.60°C. There were 0.00 hours of precipitation and total precipitation of 0.00 mm. There were 330.10 hours of sunshine, with an average of 11.48 hours of daylight. The most frequent weather was Sunny occurring on 20 days.",Delhi,1993-10
"In Delhi during 11/1993, the average temperature was 21.02°C, with highs up to 31.50°C and lows down to 9.70°C. There were 1.00 hours of precipitation and total precipitation of 0.20 mm. There were 289.13 hours of sunshine, with an average of 10.74 hours of daylight. The most frequent weather was Sunny occurring on 17 days.",Delhi,1993-11
"In Delhi during 12/1993, the average temperature was 16.08°C, with highs up to 27.40°C and lows down to 6.10°C. There were 1.00 hours of precipitation and total precipitation of 0.10 mm. There were 291.48 hours of sunshine, with an average of 10.36 hours of daylight. The most frequent weather was Sunny occurring on 16 days.",Delhi,1993-12
"In Delhi during 01/1994, the average temperature was 15.10°C, with highs up to 27.90°C and lows down to 5.70°C. There were 56.00 hours of precipitation and total precipitation of 34.40 mm. There were 277.67 hours of sunshine, with an average of 10.55 hours of daylight. The most frequent weather was Cloudy occurring on 15 days.",Delhi,1994-01
"In Delhi during 02/1994, the average temperature was 16.50°C, with highs up to 27.20°C and lows down to 5.40°C. There were 42.00 hours of precipitation and total precipitation of 28.70 mm. There were 263.78 hours of sunshine, with an average of 11.18 hours of daylight. The most frequent weather was Sunny occurring on 7 days.",Delhi,1994-02
"In Delhi during 03/1994, the average temperature was 24.52°C, with highs up to 37.40°C and lows down to 9.70°C. There were 4.00 hours of precipitation and total precipitation of 1.00 mm. There were 341.19 hours of sunshine, with an average of 12.00 hours of daylight. The most frequent weather was Cloudy occurring on 17 days.",Delhi,1994-03
"In Delhi during 04/1994, the average temperature was 27.39°C, with highs up to 38.30°C and lows down to 13.30°C. There were 29.00 hours of precipitation and total precipitation of 16.30 mm. There were 343.99 hours of sunshine, with an average of 12.85 hours of daylight. The most frequent weather was Cloudy occurring on 11 days.",Delhi,1994-04
"In Delhi during 05/1994, the average temperature was 33.57°C, with highs up to 45.00°C and lows down to 21.10°C. There were 13.00 hours of precipitation and total precipitation of 10.50 mm. There were 381.56 hours of sunshine, with an average of 13.57 hours of daylight. The most frequent weather was Cloudy occurring on 10 days.",Delhi,1994-05
"In Delhi during 06/1994, the average temperature was 33.88°C, with highs up to 44.80°C and lows down to 25.40°C. There were 81.00 hours of precipitation and total precipitation of 101.30 mm. There were 335.68 hours of sunshine, with an average of 13.93 hours of daylight. The most frequent weather was Cloudy occurring on 6 days.",Delhi,1994-06
"In Delhi during 07/1994, the average temperature was 28.90°C, with highs up to 36.30°C and lows down to 25.00°C. There were 286.00 hours of precipitation and total precipitation of 267.20 mm. There were 233.39 hours of sunshine, with an average of 13.76 hours of daylight. The most frequent weather was Light Rain occurring on 8 days.",Delhi,1994-07
"In Delhi during 08/1994, the average temperature was 28.13°C, with highs up to 33.20°C and lows down to 24.30°C. There were 216.00 hours of precipitation and total precipitation of 153.90 mm. There were 257.89 hours of sunshine, with an average of 13.15 hours of daylight. The most frequent weather was Light Drizzle occurring on 8 days.",Delhi,1994-08
"In Delhi during 09/1994, the average temperature was 27.37°C, with highs up to 34.80°C and lows down to 18.40°C. There were 63.00 hours of precipitation and total precipitation of 29.00 mm. There were 323.14 hours of sunshine, with an average of 12.34 hours of daylight. The most frequent weather was Sunny occurring on 9 days.",Delhi,1994-09
"In Delhi during 10/1994, the average temperature was 25.45°C, with highs up to 35.50°C and lows down to 14.00°C. There were 1.00 hours of precipitation and total precipitation of 0.30 mm. There were 330.20 hours of sunshine, with an average of 11.49 hours of daylight. The most frequent weather was Sunny occurring on 24 days.",Delhi,1994-10
"In Delhi during 11/1994, the average temperature was 20.62°C, with highs up to 30.00°C and lows down to 11.70°C. There were 0.00 hours of precipitation and total precipitation of 0.00 mm. There were 294.48 hours of sunshine, with an average of 10.74 hours of daylight. The most frequent weather was Sunny occurring on 21 days.",Delhi,1994-11
"In Delhi during 12/1994, the average temperature was 16.17°C, with highs up to 27.50°C and lows down to 5.70°C. There were 1.00 hours of precipitation and total precipitation of 0.30 mm. There were 289.80 hours of sunshine, with an average of 10.36 hours of daylight. The most frequent weather was Sunny occurring on 15 days.",Delhi,1994-12
"In Delhi during 01/1995, the average temperature was 12.71°C, with highs up to 22.30°C and lows down to 3.70°C. There were 32.00 hours of precipitation and total precipitation of 71.10 mm. There were 270.07 hours of sunshine, with an average of 10.55 hours of daylight. The most frequent weather was Sunny occurring on 10 days.",Delhi,1995-01
"In Delhi during 02/1995, the average temperature was 16.21°C, with highs up to 27.30°C and lows down to 5.30°C. There were 43.00 hours of precipitation and total precipitation of 27.80 mm. There were 272.99 hours of sunshine, with an average of 11.17 hours of daylight. The most frequent weather was Cloudy occurring on 11 days.",Delhi,1995-02
"In Delhi during 03/1995, the average temperature was 21.24°C, with highs up to 35.60°C and lows down to 8.10°C. There were 30.00 hours of precipitation and total precipitation of 24.50 mm. There were 327.24 hours of sunshine, with an average of 11.99 hours of daylight. The most frequent weather was Cloudy occurring on 16 days.",Delhi,1995-03
"In Delhi during 04/1995, the average temperature was 28.27°C, with highs up to 40.60°C and lows down to 13.30°C. There were 8.00 hours of precipitation and total precipitation of 2.40 mm. There were 349.54 hours of sunshine, with an average of 12.84 hours of daylight. The most frequent weather was Cloudy occurring on 16 days.",Delhi,1995-04
"In Delhi during 05/1995, the average temperature was 34.17°C, with highs up to 45.10°C and lows down to 22.40°C. There were 1.00 hours of precipitation and total precipitation of 0.60 mm. There were 383.27 hours of sunshine, with an average of 13.56 hours of daylight. The most frequent weather was Sunny occurring on 11 days.",Delhi,1995-05
"In Delhi during 06/1995, the average temperature was 35.57°C, with highs up to 46.40°C and lows down to 23.70°C. There were 33.00 hours of precipitation and total precipitation of 53.30 mm. There were 367.99 hours of sunshine, with an average of 13.93 hours of daylight. The most frequent weather was Mainly Sunny occurring on 10 days.",Delhi,1995-06
"In Delhi during 07/1995, the average temperature was 30.69°C, with highs up to 42.60°C and lows down to 24.90°C. There were 214.00 hours of precipitation and total precipitation of 140.60 mm. There were 280.66 hours of sunshine, with an average of 13.77 hours of daylight. The most frequent weather was Drizzle occurring on 7 days.",Delhi,1995-07
"In Delhi during 08/1995, the average temperature was 27.15°C, with highs up to 32.50°C and lows down to 24.00°C. There were 421.00 hours of precipitation and total precipitation of 343.80 mm. There were 184.20 hours of sunshine, with an average of 13.15 hours of daylight. The most frequent weather was Light Rain occurring on 11 days.",Delhi,1995-08
"In Delhi during 09/1995, the average temperature was 27.95°C, with highs up to 35.50°C and lows down to 21.60°C. There were 60.00 hours of precipitation and total precipitation of 127.10 mm. There were 312.41 hours of sunshine, with an average of 12.34 hours of daylight. The most frequent weather was Mainly Sunny occurring on 10 days.",Delhi,1995-09
"In Delhi during 10/1995, the average temperature was 26.31°C, with highs up to 35.80°C and lows down to 14.90°C. There were 10.00 hours of precipitation and total precipitation of 4.30 mm. There were 327.00 hours of sunshine, with an average of 11.49 hours of daylight. The most frequent weather was Mainly Sunny occurring on 12 days.",Delhi,1995-10
"In Delhi during 11/1995, the average temperature was 20.46°C, with highs up to 29.50°C and lows down to 10.30°C. There were 1.00 hours of precipitation and total precipitation of 0.10 mm. There were 294.34 hours of sunshine, with an average of 10.75 hours of daylight. The most frequent weather was Sunny occurring on 23 days.",Delhi,1995-11
"In Delhi during 12/1995, the average temperature was 15.76°C, with highs up to 24.40°C and lows down to 6.20°C. There were 6.00 hours of precipitation and total precipitation of 1.50 mm. There were 290.22 hours of sunshine, with an average of 10.36 hours of daylight. The most frequent weather was Cloudy occurring on 12 days.",Delhi,1995-12
"In Delhi during 01/1996, the average temperature was 13.87°C, with highs up to 22.10°C and lows down to 4.30°C. There were 43.00 hours of precipitation and total precipitation of 16.60 mm. There were 290.25 hours of sunshine, with an average of 10.55 hours of daylight. The most frequent weather was Sunny occurring on 11 days.",Delhi,1996-01
"In Delhi during 02/1996, the average temperature was 16.51°C, with highs up to 27.00°C and lows down to 5.70°C. There were 83.00 hours of precipitation and total precipitation of 80.80 mm. There were 267.89 hours of sunshine, with an average of 11.18 hours of daylight. The most frequent weather was Cloudy occurring on 8 days.",Delhi,1996-02
"In Delhi during 03/1996, the average temperature was 22.84°C, with highs up to 35.90°C and lows down to 11.70°C. There were 24.00 hours of precipitation and total precipitation of 16.50 mm. There were 328.47 hours of sunshine, with an average of 12.01 hours of daylight. The most frequent weather was Cloudy occurring on 11 days.",Delhi,1996-03
"In Delhi during 04/1996, the average temperature was 28.91°C, with highs up to 42.00°C and lows down to 14.10°C. There were 10.00 hours of precipitation and total precipitation of 5.10 mm. There were 354.69 hours of sunshine, with an average of 12.86 hours of daylight. The most frequent weather was Sunny occurring on 12 days.",Delhi,1996-04
"In Delhi during 05/1996, the average temperature was 32.65°C, with highs up to 43.20°C and lows down to 22.60°C. There were 25.00 hours of precipitation and total precipitation of 9.60 mm. There were 378.36 hours of sunshine, with an average of 13.58 hours of daylight. The most frequent weather was Cloudy occurring on 10 days.",Delhi,1996-05
"In Delhi during 06/1996, the average temperature was 31.41°C, with highs up to 43.80°C and lows down to 24.40°C. There were 172.00 hours of precipitation and total precipitation of 223.60 mm. There were 303.86 hours of sunshine, with an average of 13.93 hours of daylight. The most frequent weather was Drizzle occurring on 8 days.",Delhi,1996-06
"In Delhi during 07/1996, the average temperature was 29.31°C, with highs up to 36.70°C and lows down to 24.40°C. There were 252.00 hours of precipitation and total precipitation of 152.70 mm. There were 277.94 hours of sunshine, with an average of 13.76 hours of daylight. The most frequent weather was Light Rain occurring on 8 days.",Delhi,1996-07
"In Delhi during 08/1996, the average temperature was 27.12°C, with highs up to 32.50°C and lows down to 22.70°C. There were 466.00 hours of precipitation and total precipitation of 339.90 mm. There were 175.88 hours of sunshine, with an average of 13.14 hours of daylight. The most frequent weather was Rain occurring on 11 days.",Delhi,1996-08
"In Delhi during 09/1996, the average temperature was 26.86°C, with highs up to 33.70°C and lows down to 20.70°C. There were 215.00 hours of precipitation and total precipitation of 127.50 mm. There were 255.32 hours of sunshine, with an average of 12.32 hours of daylight. The most frequent weather was Sunny occurring on 9 days.",Delhi,1996-09
"In Delhi during 10/1996, the average temperature was 24.70°C, with highs up to 33.70°C and lows down to 13.40°C. There were 17.00 hours of precipitation and total precipitation of 3.40 mm. There were 317.09 hours of sunshine, with an average of 11.47 hours of daylight. The most frequent weather was Sunny occurring on 14 days.",Delhi,1996-10
"In Delhi during 11/1996, the average temperature was 19.10°C, with highs up to 31.10°C and lows down to 7.40°C. There were 0.00 hours of precipitation and total precipitation of 0.00 mm. There were 294.32 hours of sunshine, with an average of 10.73 hours of daylight. The most frequent weather was Sunny occurring on 20 days.",Delhi,1996-11
"In Delhi during 12/1996, the average temperature was 14.12°C, with highs up to 24.00°C and lows down to 4.70°C. There were 0.00 hours of precipitation and total precipitation of 0.00 mm. There were 293.52 hours of sunshine, with an average of 10.36 hours of daylight. The most frequent weather was Sunny occurring on 24 days.",Delhi,1996-12
"In Delhi during 01/1997, the average temperature was 12.52°C, with highs up to 21.90°C and lows down to 3.60°C. There were 18.00 hours of precipitation and total precipitation of 24.30 mm. There were 291.23 hours of sunshine, with an average of 10.56 hours of daylight. The most frequent weather was Cloudy occurring on 12 days.",Delhi,1997-01
"In Delhi during 02/1997, the average temperature was 15.94°C, with highs up to 28.60°C and lows down to 4.50°C. There were 14.00 hours of precipitation and total precipitation of 4.00 mm. There were 281.41 hours of sunshine, with an average of 11.19 hours of daylight. The most frequent weather was Sunny occurring on 13 days.",Delhi,1997-02
"In Delhi during 03/1997, the average temperature was 21.61°C, with highs up to 32.20°C and lows down to 10.10°C. There were 37.00 hours of precipitation and total precipitation of 19.90 mm. There were 314.75 hours of sunshine, with an average of 12.00 hours of daylight. The most frequent weather was Cloudy occurring on 18 days.",Delhi,1997-03
"In Delhi during 04/1997, the average temperature was 26.00°C, with highs up to 39.70°C and lows down to 12.30°C. There were 54.00 hours of precipitation and total precipitation of 41.10 mm. There were 344.32 hours of sunshine, with an average of 12.86 hours of daylight. The most frequent weather was Cloudy occurring on 10 days.",Delhi,1997-04
"In Delhi during 05/1997, the average temperature was 30.84°C, with highs up to 41.90°C and lows down to 20.30°C. There were 38.00 hours of precipitation and total precipitation of 31.50 mm. There were 381.14 hours of sunshine, with an average of 13.57 hours of daylight. The most frequent weather was Cloudy occurring on 6 days.",Delhi,1997-05
"In Delhi during 06/1997, the average temperature was 31.23°C, with highs up to 43.20°C and lows down to 22.80°C. There were 102.00 hours of precipitation and total precipitation of 105.30 mm. There were 343.93 hours of sunshine, with an average of 13.93 hours of daylight. The most frequent weather was Light Drizzle occurring on 8 days.",Delhi,1997-06
"In Delhi during 07/1997, the average temperature was 29.57°C, with highs up to 39.00°C and lows down to 25.10°C. There were 268.00 hours of precipitation and total precipitation of 254.80 mm. There were 254.25 hours of sunshine, with an average of 13.76 hours of daylight. The most frequent weather was Rain occurring on 12 days.",Delhi,1997-07
"In Delhi during 08/1997, the average temperature was 27.95°C, with highs up to 33.40°C and lows down to 23.40°C. There were 235.00 hours of precipitation and total precipitation of 217.50 mm. There were 277.91 hours of sunshine, with an average of 13.14 hours of daylight. The most frequent weather was Light Drizzle occurring on 8 days.",Delhi,1997-08
"In Delhi during 09/1997, the average temperature was 28.01°C, with highs up to 35.90°C and lows down to 20.10°C. There were 66.00 hours of precipitation and total precipitation of 37.90 mm. There were 302.96 hours of sunshine, with an average of 12.33 hours of daylight. The most frequent weather was Light Drizzle occurring on 7 days.",Delhi,1997-09
"In Delhi during 10/1997, the average temperature was 22.28°C, with highs up to 30.80°C and lows down to 14.60°C. There were 103.00 hours of precipitation and total precipitation of 60.30 mm. There were 302.71 hours of sunshine, with an average of 11.48 hours of daylight. The most frequent weather was Cloudy occurring on 8 days.",Delhi,1997-10
"In Delhi during 11/1997, the average temperature was 18.32°C, with highs up to 27.10°C and lows down to 8.30°C. There were 37.00 hours of precipitation and total precipitation of 31.10 mm. There were 279.37 hours of sunshine, with an average of 10.74 hours of daylight. The most frequent weather was Cloudy occurring on 16 days.",Delhi,1997-11
"In Delhi during 12/1997, the average temperature was 13.07°C, with highs up to 22.40°C and lows down to 3.70°C. There were 47.00 hours of precipitation and total precipitation of 38.00 mm. There were 256.66 hours of sunshine, with an average of 10.36 hours of daylight. The most frequent weather was Cloudy occurring on 18 days.",Delhi,1997-12
"In Delhi during 01/1998, the average temperature was 12.53°C, with highs up to 22.50°C and lows down to 2.80°C. There were 1.00 hours of precipitation and total precipitation of 0.10 mm. There were 292.97 hours of sunshine, with an average of 10.55 hours of daylight. The most frequent weather was Cloudy occurring on 21 days.",Delhi,1998-01
"In Delhi during 02/1998, the average temperature was 16.31°C, with highs up to 27.30°C and lows down to 5.40°C. There were 44.00 hours of precipitation and total precipitation of 34.80 mm. There were 267.49 hours of sunshine, with an average of 11.18 hours of daylight. The most frequent weather was Cloudy occurring on 9 days.",Delhi,1998-02
